,CR GNN,CR MLP,CR LSTM,Date
414,113.01232315178244,109.58526935856364,108.06812166925417,2019-05-26
415,112.56046297732362,110.96827306204673,108.62459218921413,2019-05-27
416,113.27794290328616,108.68448820603149,107.58540411706754,2019-05-28
417,113.60993780682045,107.46393164622941,107.02922427737234,2019-05-29
418,113.24322323403719,108.80600756888903,107.53327677833823,2019-05-30
419,113.07351549268697,109.38361052743602,107.72637768106732,2019-05-31
420,113.30077673378068,108.60394424724387,107.34526373395352,2019-06-01
421,113.81991360677955,106.63601852909244,106.48218690714859,2019-06-02
422,113.79683417618655,106.72918331833515,106.46780834955987,2019-06-03
423,113.78639677043891,106.77113912619005,106.43254523503404,2019-06-04
424,113.35787304197467,108.40036303289646,107.05258317283912,2019-06-05
425,113.27529528971934,108.69379525497409,107.12384818236198,2019-06-06
426,113.01294684375287,109.58323152577911,107.45187352181476,2019-06-07
427,112.85476228173647,110.08858910814882,107.62139255675478,2019-06-08
428,113.6089455840938,107.46773962879794,106.4564378526744,2019-06-09
429,114.04340669097036,105.7056554462662,105.68270118470011,2019-06-10
430,113.51146553408844,107.83712962436584,106.50461478443593,2019-06-11
431,114.01506667455226,105.82648770085277,105.62664113208038,2019-06-12
